,id,artist_name,track_name,album_name,artist_genre,release_date,artist_popularity,track_popularity,artist_followers,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2276,6hodkbtQEBpIUXjVOLHYjs,Subcarpaţi,Balada Romanului,Underground Folclor,"['romanian rap', 'romanian rock']",2012-06-17,41,23,99679,250880,0.736,4,-8.732,0.348,0.0118,0.0,0.202,0.676,160.069,250880,4
2277,4wBaxoKtLu6rnpndQti6FD,Ruby,Stinge Lumina,Stinge Lumina,['romanian pop'],2012-06-22,36,37,44951,223635,0.929,5,-3.604,0.0732,0.073,0.00924,0.505,0.925,100.029,223635,4
2279,7IQM6cxe0NRTHtQDDbUfMP,Vescan,Piesa Mea Preferata,Piesa Mea Preferata,['romanian pop'],2013,42,0,96447,247776,0.902,6,-5.572,0.237,0.116,0.0,0.325,0.643,92.006,247776,4
2280,662WOv3fQirAb495z9TvhG,Lidia Buble,Le-Am Spus Şi Fetelor,Le-Am Spus Şi Fetelor,['romanian pop'],2015-09-08,41,0,172530,238500,0.87,4,-3.485,0.0585,0.00758,0.0,0.099,0.812,90.963,238500,4
2281,3QW3wxXIuc7Ll3tFCiuoZ4,Corina,Autobronzant,Autobronzant,"['classic romanian pop', 'romanian pop']",2014-06-23,34,35,23395,187764,0.703,11,-5.479,0.0554,0.145,0.0,0.0788,0.933,134.932,187764,4
2282,28w7CPWQCqQxt0YCzDN75b,Red Hot Chili Peppers,Quixoticelixer - 2006 Remaster,Californication (Deluxe Edition),"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",1999-06-08,83,51,18887681,288227,0.831,6,-4.869,0.069,0.016,0.000312,0.0676,0.834,110.731,288227,4
2283,3SoDB59Y7dSZLSDBiNJ6o2,Red Hot Chili Peppers,Charlie,Stadium Arcadium,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",2006-05-09,83,59,18887681,277533,0.912,7,-3.449,0.0724,0.0198,6.52e-05,0.0883,0.506,110.339,277533,4
2284,0xAjq4KAQdJvUyCM7fFZ9K,Red Hot Chili Peppers,Hey,Stadium Arcadium,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",2006-05-09,83,54,18887681,339533,0.577,8,-6.253,0.0369,0.309,1.02e-05,0.101,0.737,122.61,339533,4
2285,3L2Nyi3T7XabH8EEZFLDdX,Red Hot Chili Peppers,Wet Sand,Stadium Arcadium,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",2006-05-09,83,63,18887681,309800,0.753,4,-3.921,0.0285,0.0313,2.25e-06,0.142,0.514,176.748,309800,4
2287,4y84ILALZSa4LyP6H7NVjR,Red Hot Chili Peppers,Stadium Arcadium,Stadium Arcadium,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",2006-05-09,83,57,18887681,314773,0.707,9,-3.925,0.0318,0.0236,2.69e-06,0.156,0.219,113.474,314773,4
2288,3ZIw7nCYObqthuWCuDrCu0,Red Hot Chili Peppers,Venice Queen,By the Way (Deluxe Edition),"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",2002-07-09,83,51,18887681,367027,0.85,0,-4.669,0.0426,0.00451,0.000726,0.109,0.159,130.745,367027,4
